property_type,location,bed,bath,total_sqft,price
Apartment,"Darussalam, Mirpur, Dhaka",3,3,"1,350 sqft","7,400,000"
Apartment,"Section 1, Mirpur, Dhaka",3,2,"1,300 sqft","5,800,000"
Apartment,"Chad Uddan Housing, Mohammadpur, Dhaka",2,2,600 sqft,"2,600,000"
Apartment,"Chad Uddan Housing, Mohammadpur, Dhaka",2,2,600 sqft,"2,600,000"
Apartment,"Bakshi Bazar, Lalbagh, Dhaka",3,2,"1,100 sqft","8,000,000"
Apartment,"Darussalam, Mirpur, Dhaka",3,3,"1,100 sqft","6,000,000"
Apartment,"Darussalam, Mirpur, Dhaka",3,3,"1,300 sqft","7,100,000"
Apartment,"Darussalam, Mirpur, Dhaka",3,3,"1,450 sqft","7,900,000"
Apartment,"Baitul Aman Housing Society, Adabor, Dhaka",3,3,"1,550 sqft","10,075,000"
Apartment,"Ashi Dag Road, Ibrahimpur, Dhaka",3,3,"1,450 sqft","6,500,000"
Apartment,"Uttar Badda, Badda, Dhaka",3,3,"1,253 sqft","7,300,000"
Apartment,"Block F, Bashundhara R-A, Dhaka",3,4,"1,550 sqft","11,000,000"
Apartment,"Mansurabad Housing Society, Adabor, Dhaka",3,3,"1,030 sqft","6,000,000"
Apartment,"New Elephant Road, Hatirpool, Dhaka",3,3,"1,300 sqft","11,500,000"
Apartment,"Dolphin Goli Road, Kalabagan, Dhaka",2,3,"1,050 sqft","5,000,000"
Apartment,"South Banasree Project, Banasree, Dhaka",3,2,"1,047 sqft","5,000,000"
Apartment,"South Banasree Project, Banasree, Dhaka",2,2,770 sqft,"4,000,000"
Apartment,"Block H, Banasree, Dhaka",3,3,"1,100 sqft","6,000,000"
Apartment,"Block F, Bashundhara R-A, Dhaka",3,3,"1,400 sqft","11,000,000"
Apartment,"West Shewrapara, Mirpur, Dhaka",3,3,"1,167 sqft","6,000,000"
Apartment,"Rayer Bazaar, Hazaribag, Dhaka",3,3,"1,450 sqft","8,700,000"
Apartment,"Rayer Bazaar, Hazaribag, Dhaka",3,3,"1,450 sqft","8,700,000"
Apartment,"Rayer Bazaar, Hazaribag, Dhaka",3,3,"1,450 sqft","8,700,000"
Apartment,"Topkhana Road, Shegunbagicha, Dhaka",3,4,"1,502 sqft","11,000,000"
Apartment,"Block C, Bashundhara R-A, Dhaka",3,3,"1,350 sqft","10,000,000"
Apartment,"Meradia, Khilgaon, Dhaka",2,1,540 sqft,"2,300,000"
Apartment,"Meradia, Khilgaon, Dhaka",2,1,540 sqft,"2,300,000"
Apartment,"Meradia, Khilgaon, Dhaka",2,1,540 sqft,"2,300,000"
Apartment,"Meradia, Khilgaon, Dhaka",3,2,"1,080 sqft","4,500,000"
Apartment,"Meradia, Khilgaon, Dhaka",2,1,540 sqft,"2,300,000"
Apartment,"Sector 1, Uttara, Dhaka",3,3,"1,414 sqft","11,000,000"
Apartment,"Block D, Lalmatia, Dhaka",3,4,"1,600 sqft","23,000,000"
Apartment,"West Dhanmondi and Shangkar, Dhanmondi, Dhaka",3,2,"1,050 sqft","6,300,000"
Apartment,"West Dhanmondi and Shangkar, Dhanmondi, Dhaka",3,3,"1,050 sqft","6,300,000"
Apartment,"West Dhanmondi and Shangkar, Dhanmondi, Dhaka",3,2,"1,050 sqft","6,300,000"
Apartment,"West Dhanmondi and Shangkar, Dhanmondi, Dhaka",3,3,"1,050 sqft","6,300,000"
Apartment,"Meradia, Khilgaon, Dhaka",2,1,540 sqft,"2,300,000"
Apartment,"Meradia, Khilgaon, Dhaka",1,1,540 sqft,"2,300,000"
Apartment,"South Banasree Project, Banasree, Dhaka",3,3,"1,350 sqft","7,900,000"
Apartment,"South Banasree Project, Banasree, Dhaka",3,3,"1,350 sqft","7,900,000"
Apartment,"Turag, Dhaka",3,2,970 sqft,"4,800,000"
Apartment,"South Banasree Project, Banasree, Dhaka",3,3,"1,350 sqft","7,900,000"
Apartment,"Kallyanpur, Mirpur, Dhaka",3,2,"1,150 sqft","5,750,000"
Apartment,"Section 10, Mirpur, Dhaka",3,2,"1,150 sqft","5,750,000"
Apartment,"Section 10, Mirpur, Dhaka",3,2,"1,050 sqft","5,250,000"
Apartment,"Section 10, Mirpur, Dhaka",3,2,"1,150 sqft","5,800,000"
Apartment,"Section 10, Mirpur, Dhaka",3,2,"1,150 sqft","5,750,000"
Apartment,"Block I, Bashundhara R-A, Dhaka",4,3,"1,905 sqft","15,000,000"
Apartment,"Section 10, Mirpur, Dhaka",3,2,"1,150 sqft","5,500,000"
Apartment,"Section 10, Mirpur, Dhaka",3,2,"1,100 sqft","5,600,000"
Apartment,"Section 10, Mirpur, Dhaka",3,2,"1,150 sqft","6,000,000"
Apartment,"Section 10, Mirpur, Dhaka",3,2,"1,050 sqft","5,700,000"
Apartment,"Section 10, Mirpur, Dhaka",3,2,"1,100 sqft","6,050,000"
Apartment,"Section 10, Mirpur, Dhaka",3,2,"1,150 sqft","6,325,000"
